settingtask_id,task_id,task_type,staff_id,staff_category,department_id,scheduled_hours,actual_hours,scheduled_day,actual_day,status,is_active,is_started,q_perf,q_deadline,q_status,a_mn
1,1,backend,6,2,1,16,25,8,12,adopted_customer,False,False,1.0,1.0,1.0,1.0
2,2,backend,6,2,1,11,16,5,8,adopted_customer,False,False,1.0,1.0,1.0,1.0
3,3,backend,6,2,1,20,18,10,9,verification,True,True,0.9,0.9,0.0,0.63
4,4,backend,6,2,1,8,9,4,4,Started,True,True,1.0,1.0,0.0,0.7
5,5,backend,6,2,1,10,14,5,7,verification_staff,True,True,1.0,1.0,0.0,0.7
6,6,backend,6,2,1,6,10,3,5,Not_started,True,True,1.0,1.0,0.0,0.7
7,7,backend,6,2,1,10,7,5,3,adopted_customer,False,False,0.7,0.6,1.0,0.76
8,8,backend,6,2,1,6,5,3,2,adopted_customer,False,False,0.8333333333333334,0.6666666666666666,1.0,0.833
9,9,backend,6,2,1,7,20,3,10,verification,True,True,1.0,1.0,0.0,0.7
10,10,integration,24,2,3,16,25,8,12,adopted_customer,False,False,1.0,1.0,1.0,1.0
11,11,integration,24,2,3,14,17,7,8,adopted_customer,False,False,1.0,1.0,1.0,1.0
12,12,integration,24,2,3,12,15,6,7,verification_staff,True,True,1.0,1.0,0.0,0.7
13,13,integration,24,2,3,10,14,5,7,verification,True,True,1.0,1.0,0.0,0.7
14,14,integration,24,2,3,8,15,4,7,Started,True,True,1.0,1.0,0.0,0.7
15,15,integration,24,2,3,12,10,6,5,verification,True,True,0.8333333333333334,0.8333333333333334,0.0,0.583
16,16,integration,24,2,3,6,30,3,15,Not_started,True,True,1.0,1.0,0.0,0.7
17,17,integration,24,2,3,9,4,4,2,adopted,False,False,0.4444444444444444,0.5,1.0,0.628
18,18,integration,24,2,3,7,14,3,7,rejected_customer,True,True,1.0,1.0,0.0,0.7
19,19,integration,24,2,3,10,10,5,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
20,20,integration,24,2,3,6,5,3,2,verification_staff,True,True,0.8333333333333334,0.6666666666666666,0.0,0.533
21,21,devops,23,2,5,12,13,6,6,adopted_customer,False,False,1.0,1.0,1.0,1.0
22,22,devops,23,2,5,14,14,7,7,adopted_customer,False,False,1.0,1.0,1.0,1.0
23,23,devops,23,2,5,10,30,5,15,verification,True,True,1.0,1.0,0.0,0.7
24,24,devops,23,2,5,7,10,3,5,Started,True,True,1.0,1.0,0.0,0.7
25,25,devops,23,2,5,11,12,5,6,verification_staff,True,True,1.0,1.0,0.0,0.7
26,26,devops,23,2,5,8,12,4,6,Not_started,True,True,1.0,1.0,0.0,0.7
27,27,devops,23,2,5,9,7,4,3,adopted_customer,False,False,0.7777777777777778,0.75,1.0,0.836
28,28,devops,23,2,5,6,5,3,2,adopted_customer,False,False,0.8333333333333334,0.6666666666666666,1.0,0.833
29,29,backend,6,2,1,8,7,4,3,adopted_customer,False,False,0.875,0.75,1.0,0.875
30,30,backend,6,2,1,10,10,5,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
31,31,backend,6,2,1,9,9,4,4,adopted_customer,False,False,1.0,1.0,1.0,1.0
32,32,backend,6,2,1,6,7,3,3,adopted_customer,False,False,1.0,1.0,1.0,1.0
33,33,backend,6,2,1,7,8,3,4,adopted_customer,False,False,1.0,1.0,1.0,1.0
34,34,backend,6,2,1,6,6,3,3,adopted_customer,False,False,1.0,1.0,1.0,1.0
35,35,backend,6,2,1,7,7,3,3,adopted_customer,False,False,1.0,1.0,1.0,1.0
36,36,backend,6,2,1,9,10,4,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
37,37,backend,6,2,1,6,5,3,2,adopted_customer,False,False,0.8333333333333334,0.6666666666666666,1.0,0.833
38,38,backend,6,2,1,5,6,2,3,adopted_customer,False,False,1.0,1.0,1.0,1.0
39,39,backend,6,2,1,6,7,3,3,adopted_customer,False,False,1.0,1.0,1.0,1.0
40,40,backend,6,2,1,7,6,3,3,adopted_customer,False,False,0.8571428571428571,1.0,1.0,0.943
41,41,backend,6,2,1,10,11,5,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
42,42,frontend,8,2,2,8,10,4,5,adopted_customer,False,False,1.0,1.0,1.0,1.0
